GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Indexing Service with a Solr backend,org.fcrepo.camel.indexing.solr,SolrRouter,0,185,0,0,0,50,0,3,0,3
Fedora Indexing Service with a Solr backend,org.fcrepo.camel.indexing.solr,SolrDeleteProcessor,0,77,0,4,0,18,0,4,0,2
