GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora reindexing service/fcrepo-reindexing,org.fcrepo.camel.reindexing,RestProcessor,13,96,0,10,4,19,0,8,0,3
Fedora reindexing service/fcrepo-reindexing,org.fcrepo.camel.reindexing,ReindexingRouter,3,265,4,6,0,59,4,6,0,5
