GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Audit Service with a triplestore backend/fcrepo-audit-triplestore,org.fcrepo.camel.audit.triplestore,EventRouter,0,91,0,0,0,21,0,4,0,4
Fedora Audit Service with a triplestore backend/fcrepo-audit-triplestore,org.fcrepo.camel.audit.triplestore,AuditSparqlProcessor,2,264,2,16,1,54,2,14,0,7
