GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Fedora Re-indexing Service,org.fcrepo.camel.reindexing,RestProcessor,40,69,7,3,11,12,4,4,0,3
Fedora Re-indexing Service,org.fcrepo.camel.reindexing,ReindexingRouter,10,258,4,6,2,57,5,5,1,4
